,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
2259,5b40605c57c41002aa12e26d,1,0,0,0,0,0x2x Exchange Protocol
1485,5b40605c57c41002aa12df67,1,0,0,0,0,18 Moons 
2176,5b40605c57c41002aa12e21a,1,0,0,0,0,1World Online
679,5b40605c57c41002aa12dc41,1,0,0,0,0,2100NEWS
2576,5b40605d57c41002aa12e3aa,1,0,0,0,0,300
762,5b40605c57c41002aa12dc94,1,0,0,0,0,300cubits
2281,5b40605c57c41002aa12e283,1,0,1,0,0,3DES
4,5b40605c57c41002aa12d99e,1,0,0,0,0,3cCoin
1862,5b40605c57c41002aa12e0e0,1,0,0,0,0,4Lions
2538,5b40605c57c41002aa12e384,1,0,0,0,0,7ype
2395,5b40605c57c41002aa12e2f5,1,0,0,0,0,803 Mine Project 
528,5b40605c57c41002aa12dbaa,1,0,0,0,0,8th Continent
1914,5b40605c57c41002aa12e114,1,0,1,0,0,A-TOKEN
1047,5b40605c57c41002aa12ddb1,1,0,0,0,0,A2B Taxi
1714,5b40605c57c41002aa12e04c,1,0,0,0,0,AAA COIN
1096,5b40605c57c41002aa12dde2,1,0,1,0,0,AB-CHAIN
2276,5b40605c57c41002aa12e27e,1,0,0,0,0,ABIO Coin
2229,5b40605c57c41002aa12e24f,1,0,0,0,0,ABR
2558,5b40605d57c41002aa12e398,1,0,1,0,0,ACT
177,5b40605c57c41002aa12da4b,1,0,0,0,0,ADAMANT Messenger
537,5b40605c57c41002aa12dbb3,1,0,1,0,0,AI Crypto
360,5b40605c57c41002aa12db02,0,0,0,0,0,AI Opinion
2520,5b40605c57c41002aa12e372,1,0,1,0,0,AICOIN
2454,5b40605c57c41002aa12e330,1,0,0,0,0,AIOCOINS
2178,5b40605c57c41002aa12e21c,1,0,0,0,0,AIOS
858,5b40605c57c41002aa12dcf4,1,0,0,0,0,AIREXE
850,5b40605c57c41002aa12dcec,1,0,0,0,0,AIRPOD
310,5b40605c57c41002aa12dad0,0,0,0,0,0,AISI
2160,5b40605c57c41002aa12e20a,1,0,0,0,0,AKM Global
928,5b40605c57c41002aa12dd3a,1,1,1,0,0,ALAX
1376,5b40605c57c41002aa12defa,1,0,0,0,0,ALMBank
499,5b40605c57c41002aa12db8d,0,0,0,0,0,ALPHABIT.co
1131,5b40605c57c41002aa12de05,1,0,0,0,0,AMCHART
1497,5b40605c57c41002aa12df73,1,0,0,0,0,AML Bitcoin
1682,5b40605c57c41002aa12e02c,1,0,0,0,0,AMPLE! 
2379,5b40605c57c41002aa12e2e5,1,0,0,0,0,ANACOIN
1514,5b40605c57c41002aa12df84,1,0,0,0,0,ANXICCHAIN
1117,5b40605c57c41002aa12ddf7,1,0,0,0,0,AO Blockchain System
69,5b40605c57c41002aa12d9df,1,0,0,0,0,APIS Beechain 
680,5b40605c57c41002aa12dc42,1,0,0,0,0,APO
896,5b40605c57c41002aa12dd1a,1,0,0,0,0,APPICS
189,5b40605c57c41002aa12da57,1,0,0,0,0,APRES
2473,5b40605c57c41002aa12e343,1,0,0,0,0,AQUA Rights
70,5b40605c57c41002aa12d9e0,1,0,0,0,0,AQUAOIN (ICO)
342,5b40605c57c41002aa12daf0,0,0,0,0,0,AQwire
