,close_date,close_date
,min,max
name,,
AB-CHAIN,2018-05-24,2018-07-08
ALAX,2018-06-28,2018-07-08
ARK,2017-03-22,2018-07-08
ATFS Project,2018-05-05,2018-07-08
ATLANT,2017-11-01,2018-07-08
AdEx,2017-07-01,2018-07-08
AdHive,2018-07-06,2018-07-06
Adbank,2018-01-30,2018-07-08
Aditus,2018-07-06,2018-07-06
Adshares,2017-08-10,2018-07-08
Aeron,2017-11-05,2018-07-08
AidCoin,2018-01-30,2018-07-08
AirSwap,2017-08-23,2018-07-08
AirToken,2017-08-25,2018-07-08
Amon,2018-05-29,2018-07-08
Angel Token,2017-12-28,2018-07-08
Anryze,2017-11-17,2018-07-08
AppCoins,2018-01-11,2018-07-08
Artemine,2017-11-08,2018-07-08
Astronaut,2017-11-16,2018-07-08
Auctus,2018-07-06,2018-07-06
Authoreon,2018-04-11,2018-07-08
Aventus,2018-07-06,2018-07-06
BABB,2018-06-08,2018-07-08
BANKEX,2017-12-29,2018-07-08
BIOTRON,2018-07-06,2018-07-06
BLOCKPOOL,2018-07-06,2018-07-06
BMChain,2018-03-05,2018-07-08
Bankera,2018-06-11,2018-07-08
Basic Attention Token,2017-06-01,2018-07-08
Betterbetting,2018-07-06,2018-07-06
Billionaire Token,2017-09-21,2018-07-08
BioCoin,2018-07-06,2018-07-06
BitBoost,2017-11-13,2018-07-08
BitClave,2017-08-18,2018-07-08
BitDegree,2018-01-26,2018-07-08
BitDice,2017-09-23,2018-07-08
BitFlip,2018-03-06,2018-07-08
BitRent,2018-04-24,2018-07-08
BitRewards,2016-05-05,2018-07-08
Bitbase,2018-07-06,2018-07-06
Bitcomo,2018-05-09,2018-07-08
Blackmoon Crypto,2017-08-26,2018-07-08
BlitzPredict,2018-06-26,2018-07-08
BlockCAT,2018-03-01,2018-07-08
BlockCDN,2018-07-06,2018-07-06
BlockMesh,2018-05-22,2018-07-08
BlockV,2018-07-06,2018-07-06
Blockchain Traded Fund,2018-06-12,2018-07-08
Blocklancer,2018-07-06,2018-07-06
BnkToTheFuture,2018-07-06,2018-07-06
Bonpay,2018-01-24,2018-07-08
Bounty0x,2018-01-05,2018-07-08
Bread,2018-07-06,2018-07-06
CCCoin,2017-08-27,2018-07-08
CCORE,2018-07-06,2018-07-06
CORION,2018-07-06,2018-07-06
COSS,2017-07-12,2018-07-08
CUBE,2018-07-06,2018-07-06
Cappasity,2017-12-06,2018-07-08
CarTaxi,2017-10-27,2018-07-08
Cashaa,2018-01-17,2018-07-08
Caviar,2018-06-14,2018-07-08
Centra,2017-09-15,2018-07-08
ChainLink,2017-09-28,2018-07-08
Chainium,2018-07-06,2018-07-06
Cindicator,2017-08-29,2018-07-08
Civic,2017-07-17,2018-07-08
ClearCoin,2018-07-02,2018-07-08
ClearPoll,2017-10-24,2018-07-08
Cobinhood,2017-09-20,2018-07-08
CoinPoker,2018-07-06,2018-07-06
Coinlancer,2018-07-06,2018-07-06
Commodity Ad Network,2017-11-08,2018-07-08
ConnectJob,2018-07-06,2018-07-06
Copytrack,2018-07-06,2018-07-06
Covesting,2017-12-17,2018-07-08
Credits,2016-09-25,2018-07-08
Crowd Machine,2018-07-06,2018-07-06
CrowdCoinage,2018-04-22,2018-07-08
Cryptaur,2018-07-06,2018-07-06
Crypterium,2018-04-03,2018-07-08
Cryptonetix,2018-01-29,2018-07-08
Cryptonex,2017-09-12,2018-07-08
Cryptopay,2018-07-06,2018-07-06
Cryptum,2017-11-17,2018-07-08
CyberMiles,2018-01-08,2018-07-08
DADI,2018-05-04,2018-07-08
DECENT,2018-07-06,2018-07-06
DENT,2018-07-06,2018-07-06
DIMCOIN,2017-12-24,2018-07-08
DMARKET,2018-07-06,2018-07-06
DORADO,2018-07-06,2018-07-06
Daneel,2018-05-24,2018-07-08
Datawallet,2018-07-06,2018-07-06
Datum,2017-12-27,2018-07-08
Decentraland,2017-07-18,2018-07-08
Dentacoin,2017-09-30,2018-07-08
DigiPulse,2017-11-23,2018-07-08
Digital Developers Fund,2017-07-04,2018-07-08
Doc Coin,2017-08-23,2018-07-08
Dock,2018-07-06,2018-07-06
DomRaider,2017-10-19,2018-07-08
Dragonchain,2017-12-03,2018-07-08
Dropil,2017-08-30,2018-07-08
EA Coin,2018-07-06,2018-07-06
EBCoin,2017-09-01,2018-07-08
EOS,2017-06-29,2018-07-08
EQUI,2017-08-15,2018-07-08
ETHLend,2018-07-06,2018-07-06
ETHORSE,2018-07-06,2018-07-06
Earth Token,2018-07-06,2018-07-06
Edgeless,2017-04-03,2018-07-08
Eidoo,2017-10-20,2018-07-08
Electrify.Asia,2018-04-03,2018-07-08
